target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	101	28.8861
YLL050C_mRNA	432	383	707	222.793
YMR172W_mRNA	2160	2111	62.4674	3.57145
YOR185C_mRNA	663	614	142	27.9126
YLL032C_mRNA	2478	2429	85	4.22349
YBR225W_mRNA	2703	2654	57.5984	2.61933
YEL041W_mRNA	1488	1439	71	5.95494
YOR237W_mRNA	1305	1256	15	1.44139
YMR027W_mRNA	1413	1364	268	23.7138
YBR182C-A_mRNA	195	146	5	4.1333
YKL103C_mRNA	1545	1496	495	39.935
YOL048C_mRNA	1029	980	54	6.6504
YIR015W_mRNA	435	386	36	11.2563
YNR017W_mRNA	669	620	86	16.7412
YBL055C_mRNA	1257	1208	50	4.99555
YML089C_mRNA	369	320	33.1607	12.507
YOL144W_mRNA	1455	1406	54	4.63541
YDL246C_mRNA	1074	1025	0	0
YDL243C_mRNA	990	941	1575.56	202.08
YDR387C_mRNA	1668	1619	54	4.02557
YMR290C_mRNA	1518	1469	57.4658	4.72136
YOR082C_mRNA	342	293	20.4403	8.41975
YCR031C_mRNA	414	365	665.076	219.917
YBR293W_mRNA	1425	1376	46	4.03478
YJL160C_mRNA	864	815	3	0.444267
YBR223W-A_mRNA	120	71	0	0
YMR139W_mRNA	1113	1064	147	16.6746
YNL105W_mRNA	429	380	0	0
YDL094C_mRNA	510	461	5.77501	1.51193
YDR438W_mRNA	1113	1064	33	3.74328
YDR523C_mRNA	1473	1424	29	2.45792
YDR542W_mRNA	363	314	2.95307	1.13508
YIL156W-A_mRNA	402	353	14.3861	4.91869
YLR466W_mRNA	4149	4100	23.8059	0.700778
YPL208W_mRNA	1752	1703	52	3.68526
YLR054C_mRNA	2175	2126	29	1.64632
YER011W_mRNA	765	716	4	0.674259
YLR437C_mRNA	402	353	43	14.7019
YPL102C_mRNA	303	254	1.09929	0.522348
YNR069C_mRNA	1470	1421	135	11.4662
YDR492W_mRNA	951	902	361.276	48.3406
YIL115W-A_mRNA	372	323	50.7185	18.9515
YMR191W_mRNA	1122	1073	289	32.5071
YIL086C_mRNA	309	260	36	16.7113
YOL072W_mRNA	1368	1319	45	4.11763
YOR114W_mRNA	885	836	29	4.1867
YIL156W-B_mRNA	222	173	114	79.5314
YHR094C_mRNA	1713	1664	132.985	9.64559
YOL085C_mRNA	342	293	1	0.411919
YFL031C-A_mRNA	102	53	19	43.2671
YHL031C_mRNA	672	623	96.1062	18.6184
YOR385W_mRNA	873	824	12	1.75766
YGL087C_mRNA	414	365	106	35.0504
YMR244C-A_mRNA	315	266	99.9876	45.3675
YNL306W_mRNA	654	605	295	58.85
YOR214C_mRNA	711	662	6	1.09389
YAL037W_mRNA	804	755	10	1.59857
YLR217W_mRNA	324	275	41.3619	18.153
YLL056C_mRNA	897	848	200	28.4652
YOL119C_mRNA	1506	1457	195	16.1531
YJL204C_mRNA	2523	2474	43	2.09773
YAL016W_mRNA	1908	1859	304.585	19.7746
YIL146C_mRNA	1590	1541	115	9.0069
YCL011C_mRNA	1284	1235	134	13.0954
YLR128W_mRNA	810	761	37	5.86809
YKL131W_mRNA	522	473	10.6155	2.70869
YDR018C_mRNA	1191	1142	17	1.79665
YOR019W_mRNA	2193	2144	50	2.81466
YNL288W_mRNA	1122	1073	81	9.11098
YCL040W_mRNA	1503	1454	517.082	42.9215
YER158W-A_mRNA	216	167	42.6067	30.7923
YNL191W_mRNA	1074	1025	103	12.1281
YBR115C_mRNA	4179	4130	236	6.89671
YGL156W_mRNA	3252	3203	666	25.0956
YNL150W_mRNA	408	359	113.888	38.288
YCR052W_mRNA	1452	1403	18	1.54844
YGL015C_mRNA	393	344	4	1.4034
YOR206W_mRNA	2133	2084	254	14.7101
YMR091C_mRNA	1308	1259	181	17.3513
YMR173W-A_mRNA	1185	1136	201.404	21.3978
YJR105W_mRNA	1023	974	291	36.059
YHL002W_mRNA	1359	1310	192	17.6893
YCR100C_mRNA	951	902	7	0.936637
YOR345C_mRNA	351	302	0	0
YPL217C_mRNA	3552	3503	416	14.3329
YOR341W_mRNA	4995	4946	213	5.19763
YDL189W_mRNA	1374	1325	25	2.27722
YLR279W_mRNA	390	341	13	4.60118
YHR219C-A_mRNA	483	434	0	0
YER056C-A_mRNA	366	317	393.251	149.724
YMR180C_mRNA	963	914	66	8.71521
YNL097C_mRNA	993	944	111.656	14.2754
YDR508C_mRNA	1992	1943	43.1723	2.68171
YHR045W_mRNA	1683	1634	94	6.94314
YML020W_mRNA	1995	1946	104	6.45016
YGR251W_mRNA	591	542	91	20.2639
YPL197C_mRNA	414	365	133.621	44.1838
YBR031W_mRNA	1089	1040	534.789	62.0625
YDR462W_mRNA	444	395	80	24.444
YPR139C_mRNA	903	854	100	14.1326
YPR169W_mRNA	1479	1430	199	16.7957
YPL257W_mRNA	582	533	5	1.1322
YOL088C_mRNA	834	785	66	10.1474
YLR075W_mRNA	666	617	2142.12	419.024
YML088W_mRNA	2007	1958	141	8.69133
YIL010W_mRNA	648	599	61	12.2909
YBL108C-A_mRNA	129	80	9.67672	14.5988
YDR175C_mRNA	960	911	80	10.5987
