target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	43	14.2678
YLL050C_mRNA	432	383	300	109.679
YMR172W_mRNA	2160	2111	63.3378	4.20122
YOR185C_mRNA	663	614	133	30.3308
YLL032C_mRNA	2478	2429	61	3.51644
YBR225W_mRNA	2703	2654	117.088	6.17752
YEL041W_mRNA	1488	1439	121	11.774
YOR237W_mRNA	1305	1256	21	2.34116
YMR027W_mRNA	1413	1364	374	38.3936
YBR182C-A_mRNA	195	146	6	5.75439
YKL103C_mRNA	1545	1496	259	24.242
YOL048C_mRNA	1029	980	34	4.85796
YIR015W_mRNA	435	386	27	9.7944
YNR017W_mRNA	669	620	58	13.099
YBL055C_mRNA	1257	1208	49	5.67976
YML089C_mRNA	369	320	6.11463	2.6756
YOL144W_mRNA	1455	1406	22	2.19098
YDL246C_mRNA	1074	1025	9.5	1.29778
YDL243C_mRNA	990	941	68.1233	10.137
YDR387C_mRNA	1668	1619	75	6.48658
YMR290C_mRNA	1518	1469	34	3.24085
YOR082C_mRNA	342	293	7.4453	3.55808
YCR031C_mRNA	414	365	501.069	192.223
YBR293W_mRNA	1425	1376	45	4.57926
YJL160C_mRNA	864	815	3	0.515424
YBR223W-A_mRNA	120	71	0.0693446	0.136759
YMR139W_mRNA	1113	1064	95	12.5021
YNL105W_mRNA	429	380	3.42335	1.26145
YDL094C_mRNA	510	461	2.29548	0.697227
YDR438W_mRNA	1113	1064	95	12.5021
YDR523C_mRNA	1473	1424	34	3.34326
YDR542W_mRNA	363	314	4.95801	2.21095
YIL156W-A_mRNA	402	353	9.43315	3.74182
YLR466W_mRNA	4149	4100	300.897	10.2763
YPL208W_mRNA	1752	1703	58	4.76886
YLR054C_mRNA	2175	2126	39	2.56864
YER011W_mRNA	765	716	15	2.93345
YLR437C_mRNA	402	353	17	6.74334
YPL102C_mRNA	303	254	4	2.2051
YNR069C_mRNA	1470	1421	77	7.58748
YDR492W_mRNA	951	902	514.629	79.8893
YIL115W-A_mRNA	372	323	18.2194	7.89829
YMR191W_mRNA	1122	1073	170	22.1845
YIL086C_mRNA	309	260	23	12.3867
YOL072W_mRNA	1368	1319	49	5.20179
YOR114W_mRNA	885	836	16	2.67988
YIL156W-B_mRNA	222	173	40	32.3754
YHR094C_mRNA	1713	1664	2032.14	171.002
YOL085C_mRNA	342	293	11.4273	5.46106
YFL031C-A_mRNA	102	53	18	47.5552
YHL031C_mRNA	672	623	59.0273	13.2668
