target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	11	3.12185
YLL050C_mRNA	432	383	298	93.1857
YMR172W_mRNA	2160	2111	32.2283	1.82844
YOR185C_mRNA	663	614	80	15.6046
YLL032C_mRNA	2478	2429	25	1.23266
YBR225W_mRNA	2703	2654	50.9925	2.30111
YEL041W_mRNA	1488	1439	63	5.24338
YOR237W_mRNA	1305	1256	5	0.476774
YMR027W_mRNA	1413	1364	206	18.0878
YBR182C-A_mRNA	195	146	2	1.64062
YKL103C_mRNA	1545	1496	147	11.7684
YOL048C_mRNA	1029	980	26	3.17745
YIR015W_mRNA	435	386	7	2.17191
YNR017W_mRNA	669	620	40	7.72681
YBL055C_mRNA	1257	1208	33	3.27174
YML089C_mRNA	369	320	7	2.61987
YOL144W_mRNA	1455	1406	7	0.596272
YDL246C_mRNA	1074	1025	0	0
YDL243C_mRNA	990	941	1443.76	183.754
YDR387C_mRNA	1668	1619	66	4.88235
YMR290C_mRNA	1518	1469	28.9794	2.36265
YOR082C_mRNA	342	293	3	1.22627
YCR031C_mRNA	414	365	608.859	199.782
YBR293W_mRNA	1425	1376	35	3.04636
YJL160C_mRNA	864	815	1	0.146952
YBR223W-A_mRNA	120	71	0	0
YMR139W_mRNA	1113	1064	70	7.87931
YNL105W_mRNA	429	380	1.84773	0.582353
YDL094C_mRNA	510	461	2.66465	0.692264
YDR438W_mRNA	1113	1064	34	3.82709
YDR523C_mRNA	1473	1424	13	1.09336
YDR542W_mRNA	363	314	0	0
YIL156W-A_mRNA	402	353	9.91176	3.36285
YLR466W_mRNA	4149	4100	3.41345e-05	9.97107e-07
YPL208W_mRNA	1752	1703	77	5.41512
YLR054C_mRNA	2175	2126	15	0.845006
YER011W_mRNA	765	716	0	0
YLR437C_mRNA	402	353	23	7.80342
YPL102C_mRNA	303	254	1.36731	0.644711
YNR069C_mRNA	1470	1421	123	10.3668
YDR492W_mRNA	951	902	202.343	26.8666
YIL115W-A_mRNA	372	323	0	0
YMR191W_mRNA	1122	1073	262	29.2438
YIL086C_mRNA	309	260	13	5.98828
YOL072W_mRNA	1368	1319	46	4.17681
YOR114W_mRNA	885	836	14	2.00564
YIL156W-B_mRNA	222	173	60	41.5372
YHR094C_mRNA	1713	1664	85.7282	6.17024
YOL085C_mRNA	342	293	0	0
YFL031C-A_mRNA	102	53	16	36.1556
YHL031C_mRNA	672	623	54.2042	10.4202
YOR385W_mRNA	873	824	4	0.581386
YGL087C_mRNA	414	365	38	12.4687
YMR244C-A_mRNA	315	266	25.9917	11.7026
YNL306W_mRNA	654	605	171	33.8511
YOR214C_mRNA	711	662	4	0.723659
YAL037W_mRNA	804	755	10	1.5863
YLR217W_mRNA	324	275	30.3555	13.2201
YLL056C_mRNA	897	848	125	17.6541
YOL119C_mRNA	1506	1457	162	13.3164
YJL204C_mRNA	2523	2474	15	0.726145
YAL016W_mRNA	1908	1859	266.554	17.1727
YIL146C_mRNA	1590	1541	56	4.35228
YCL011C_mRNA	1284	1235	76	7.37019
YLR128W_mRNA	810	761	17	2.67545
YKL131W_mRNA	522	473	3.81056	0.96485
YDR018C_mRNA	1191	1142	20	2.09747
YOR019W_mRNA	2193	2144	10	0.558608
YNL288W_mRNA	1122	1073	54	6.02734
YCL040W_mRNA	1503	1454	389.138	32.0532
YER158W-A_mRNA	216	167	7.44656	5.34037
YNL191W_mRNA	1074	1025	67	7.82858
YBR115C_mRNA	4179	4130	322	9.33765
YGL156W_mRNA	3252	3203	450	16.8263
YNL150W_mRNA	408	359	37.0801	12.3702
YCR052W_mRNA	1452	1403	11	0.939003
YGL015C_mRNA	393	344	1	0.348156
YOR206W_mRNA	2133	2084	74	4.25271
YMR091C_mRNA	1308	1259	56	5.32714
YMR173W-A_mRNA	1185	1136	83.0064	8.75115
YJR105W_mRNA	1023	974	328	40.3317
