target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	70	22.539
YLL050C_mRNA	432	383	786	278.851
YMR172W_mRNA	2160	2111	70.1661	4.51635
YOR185C_mRNA	663	614	174	38.5061
YLL032C_mRNA	2478	2429	82	4.58707
YBR225W_mRNA	2703	2654	97.0048	4.96639
YEL041W_mRNA	1488	1439	151	14.2582
YOR237W_mRNA	1305	1256	16	1.73093
YMR027W_mRNA	1413	1364	399	39.7473
YBR182C-A_mRNA	195	146	2	1.86134
YKL103C_mRNA	1545	1496	276	25.0684
YOL048C_mRNA	1029	980	37	5.13008
YIR015W_mRNA	435	386	20	7.0403
YNR017W_mRNA	669	620	66	14.4644
YBL055C_mRNA	1257	1208	70	7.87372
YML089C_mRNA	369	320	38.5303	16.3606
YOL144W_mRNA	1455	1406	43	4.15558
YDL246C_mRNA	1074	1025	0	0
YDL243C_mRNA	990	941	1923.98	277.818
YDR387C_mRNA	1668	1619	83	6.96594
YMR290C_mRNA	1518	1469	105.474	9.75597
YOR082C_mRNA	342	293	6.60736	3.06414
YCR031C_mRNA	414	365	935.377	348.211
YBR293W_mRNA	1425	1376	55	5.43116
YJL160C_mRNA	864	815	5	0.833606
YBR223W-A_mRNA	120	71	0.00633724	0.012128
YMR139W_mRNA	1113	1064	156	19.9219
YNL105W_mRNA	429	380	2.30107	0.822799
YDL094C_mRNA	510	461	5.84921	1.72403
YDR438W_mRNA	1113	1064	41	5.23589
YDR523C_mRNA	1473	1424	24	2.29008
YDR542W_mRNA	363	314	3.25764	1.40968
YIL156W-A_mRNA	402	353	14.0641	5.41361
YLR466W_mRNA	4149	4100	2.78834e-05	9.24083e-07
YPL208W_mRNA	1752	1703	87	6.9415
YLR054C_mRNA	2175	2126	23	1.46999
YER011W_mRNA	765	716	3	0.569321
YLR437C_mRNA	402	353	46	17.7065
YPL102C_mRNA	303	254	1.15211	0.616322
YNR069C_mRNA	1470	1421	249	23.8097
YDR492W_mRNA	951	902	418.417	63.0306
YIL115W-A_mRNA	372	323	23.5318	9.89923
YMR191W_mRNA	1122	1073	369	46.7278
YIL086C_mRNA	309	260	25	13.0652
YOL072W_mRNA	1368	1319	72	7.41714
YOR114W_mRNA	885	836	38	6.17626
YIL156W-B_mRNA	222	173	110	86.3963
YHR094C_mRNA	1713	1664	154.14	12.5867
YOL085C_mRNA	342	293	2.46698	1.14406
YFL031C-A_mRNA	102	53	14	35.8923
YHL031C_mRNA	672	623	103.377	22.5467
YOR385W_mRNA	873	824	10	1.649
YGL087C_mRNA	414	365	98	36.4823
YMR244C-A_mRNA	315	266	86.9709	44.4264
YNL306W_mRNA	654	605	304	68.2758
YOR214C_mRNA	711	662	7	1.43677
YAL037W_mRNA	804	755	6	1.07982
YLR217W_mRNA	324	275	49.2988	24.3586
YLL056C_mRNA	897	848	213	34.1297
YOL119C_mRNA	1506	1457	291	27.1383
YJL204C_mRNA	2523	2474	63	3.46011
YAL016W_mRNA	1908	1859	460.023	33.624
YIL146C_mRNA	1590	1541	103	9.08204
YCL011C_mRNA	1284	1235	138	15.1831
YLR128W_mRNA	810	761	36	6.42786
YKL131W_mRNA	522	473	4.76813	1.36973
YDR018C_mRNA	1191	1142	22	2.61761
