target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	46	14.7712
YLL050C_mRNA	432	383	428	151.431
YMR172W_mRNA	2160	2111	88.2121	5.66253
YOR185C_mRNA	663	614	163	35.9741
YLL032C_mRNA	2478	2429	81	4.51885
YBR225W_mRNA	2703	2654	119.334	6.09302
YEL041W_mRNA	1488	1439	151	14.2196
YOR237W_mRNA	1305	1256	13	1.40257
YMR027W_mRNA	1413	1364	401	39.8383
YBR182C-A_mRNA	195	146	6	5.56889
YKL103C_mRNA	1545	1496	278	25.1816
YOL048C_mRNA	1029	980	54	7.46686
YIR015W_mRNA	435	386	42	14.7446
YNR017W_mRNA	669	620	57	12.4582
YBL055C_mRNA	1257	1208	89	9.98375
YML089C_mRNA	369	320	7	2.96428
YOL144W_mRNA	1455	1406	23	2.21673
YDL246C_mRNA	1074	1025	8	1.05764
YDL243C_mRNA	990	941	70.9506	10.2173
YDR387C_mRNA	1668	1619	56	4.68718
YMR290C_mRNA	1518	1469	41.2807	3.80799
YOR082C_mRNA	342	293	3.49216	1.61509
YCR031C_mRNA	414	365	530.471	196.942
YBR293W_mRNA	1425	1376	31	3.05291
YJL160C_mRNA	864	815	4	0.665078
YBR223W-A_mRNA	120	71	1.72358	3.2896
YMR139W_mRNA	1113	1064	120	15.2831
YNL105W_mRNA	429	380	10.5502	3.76227
YDL094C_mRNA	510	461	0	0
YDR438W_mRNA	1113	1064	106	13.5
YDR523C_mRNA	1473	1424	50	4.75807
YDR542W_mRNA	363	314	2.92738	1.26334
YIL156W-A_mRNA	402	353	1.92816	0.740183
YLR466W_mRNA	4149	4100	137.361	4.53993
YPL208W_mRNA	1752	1703	67	5.33127
YLR054C_mRNA	2175	2126	43	2.74079
YER011W_mRNA	765	716	19	3.59593
YLR437C_mRNA	402	353	38	14.5874
YPL102C_mRNA	303	254	3.42212	1.82571
YNR069C_mRNA	1470	1421	114	10.8713
YDR492W_mRNA	951	902	489.062	73.473
YIL115W-A_mRNA	372	323	23.5731	9.88974
YMR191W_mRNA	1122	1073	199	25.1318
YIL086C_mRNA	309	260	38	19.8053
YOL072W_mRNA	1368	1319	59	6.06147
YOR114W_mRNA	885	836	21	3.40395
YIL156W-B_mRNA	222	173	43	33.6816
YHR094C_mRNA	1713	1664	2205.03	179.569
YOL085C_mRNA	342	293	10.0134	4.63112
YFL031C-A_mRNA	102	53	13	33.2382
YHL031C_mRNA	672	623	68.4022	14.8783
YOR385W_mRNA	873	824	66	10.8539
YGL087C_mRNA	414	365	81	30.072
YMR244C-A_mRNA	315	266	49.1098	25.0182
YNL306W_mRNA	654	605	204	45.6925
YOR214C_mRNA	711	662	5	1.02349
YAL037W_mRNA	804	755	35	6.28191
YLR217W_mRNA	324	275	6.83793	3.36948
YLL056C_mRNA	897	848	115	18.3769
YOL119C_mRNA	1506	1457	233	21.6704
YJL204C_mRNA	2523	2474	62	3.39596
YAL016W_mRNA	1908	1859	421.149	30.6992
YIL146C_mRNA	1590	1541	198	17.4114
YCL011C_mRNA	1284	1235	167	18.324
YLR128W_mRNA	810	761	29	5.16397
YKL131W_mRNA	522	473	8.32395	2.38473
YDR018C_mRNA	1191	1142	36	4.27176
YOR019W_mRNA	2193	2144	63	3.98186
YNL288W_mRNA	1122	1073	91	11.4924
YCL040W_mRNA	1503	1454	866.805	80.7844
YER158W-A_mRNA	216	167	10.3787	8.42167
YNL191W_mRNA	1074	1025	74	9.78314
YBR115C_mRNA	4179	4130	350	11.4839
YGL156W_mRNA	3252	3203	1200	50.7685
YNL150W_mRNA	408	359	44.7791	16.9025
YCR052W_mRNA	1452	1403	18	1.73854
YGL015C_mRNA	393	344	0	0
YOR206W_mRNA	2133	2084	99	6.43736
YMR091C_mRNA	1308	1259	113	12.1625
YMR173W-A_mRNA	1185	1136	941.365	112.292
YJR105W_mRNA	1023	974	453	63.0245
YHL002W_mRNA	1359	1310	169.256	17.5082
YCR100C_mRNA	951	902	8	1.20186
YOR345C_mRNA	351	302	1.15699	0.519152
YPL217C_mRNA	3552	3503	302	11.6825
YOR341W_mRNA	4995	4946	312	8.54813
YDL189W_mRNA	1374	1325	28	2.8636
YLR279W_mRNA	390	341	13.7636	5.4695
YHR219C-A_mRNA	483	434	0	0
YER056C-A_mRNA	366	317	126.78	54.1954
YMR180C_mRNA	963	914	97	14.3812
YNL097C_mRNA	993	944	73.3094	10.5235
YDR508C_mRNA	1992	1943	15	1.04614
YHR045W_mRNA	1683	1634	98	8.12727
YML020W_mRNA	1995	1946	139	9.67927
YGR251W_mRNA	591	542	37	9.25066
YPL197C_mRNA	414	365	49.7779	18.4805
YBR031W_mRNA	1089	1040	365.477	47.6208
YDR462W_mRNA	444	395	41	14.0656
YPR139C_mRNA	903	854	54	8.56853
YPR169W_mRNA	1479	1430	122	11.561
YPL257W_mRNA	582	533	0	0
YOL088C_mRNA	834	785	57	9.83956
YLR075W_mRNA	666	617	1056.01	231.929
YML088W_mRNA	2007	1958	115	7.95895
YIL010W_mRNA	648	599	24	5.42944
YBL108C-A_mRNA	129	80	4.72197	7.99841
YDR175C_mRNA	960	911	54	8.03241
YLR052W_mRNA	753	704	26	5.00462
YKR004C_mRNA	1134	1085	20	2.49787
YNL137C_mRNA	1461	1412	262	25.1442
YNL331C_mRNA	1131	1082	40.8637	5.11777
YFL026W_mRNA	1296	1247	31	3.36873
YBR116C_mRNA	528	479	27.3174	7.72814
YJR129C_mRNA	1020	971	23	3.20981
YKR092C_mRNA	1221	1172	21	2.42808
YDR186C_mRNA	2634	2585	489	25.6341
YML077W_mRNA	480	431	13	4.0873
YEL067C_mRNA	588	539	9.57103	2.40625
YJL139C_mRNA	1287	1238	64	7.00535
YKL002W_mRNA	699	650	279	58.1649
YGR162W_mRNA	2859	2810	273	13.1652
YLR159C-A_mRNA	132	83	534.25	872.242
YDR150W_mRNA	8247	8198	937.25	15.4924
YEL054C_mRNA	498	449	109.811	33.1413
YOR392W_mRNA	444	395	39	13.3794
YPL009C_mRNA	3117	3068	185.897	8.21082
YLR025W_mRNA	723	674	187	37.5969
YDR243C_mRNA	1767	1718	110	8.67641
YGR005C_mRNA	1203	1154	140	16.4397
YOR160W_mRNA	2919	2870	129	6.09085
YLR049C_mRNA	1287	1238	59	6.45806
YLR308W_mRNA	939	890	1	0.152258
YOR084W_mRNA	1164	1115	26	3.15987
YNL030W_mRNA	312	263	254.838	131.304
YHR084W_mRNA	2067	2018	52	3.49183
YLR032W_mRNA	3510	3461	116	4.54179
YOR039W_mRNA	777	728	158	29.4101
YBR241C_mRNA	1467	1418	147	14.0479
YEL047C_mRNA	1413	1364	80	7.94778
YML125C_mRNA	939	890	97	14.769
YOR264W_mRNA	1293	1244	20.7156	2.25657
YPL183C_mRNA	3042	2993	161	7.28936
YNL297C_mRNA	4911	4862	284.957	7.9421
YPR065W_mRNA	1107	1058	473	60.5823
YNL102W_mRNA	4407	4358	140	4.35323
YPR099C_mRNA	357	308	58.0867	25.5562
YCR107W_mRNA	1092	1043	77.1232	10.0201
YMR318C_mRNA	1083	1034	148	19.396
YPR032W_mRNA	3102	3053	121	5.37068
YOR281C_mRNA	861	812	54.6943	9.1276
YMR115W_mRNA	1506	1457	67	6.2314
YFR027W_mRNA	846	797	15	2.55037
YMR266W_mRNA	2862	2813	201	9.68271
YDL182W_mRNA	1287	1238	213.469	23.366
YER146W_mRNA	282	233	21.3087	12.3929
YLR251W_mRNA	594	545	88.0584	21.895
YBR182C_mRNA	1359	1310	96	9.93048
YDR362C_mRNA	2019	1970	99	6.80988
YNR026C_mRNA	1416	1367	44	4.36169
YBR134W_mRNA	402	353	2	0.76776
YHR126C_mRNA	480	431	0	0
YPR194C_mRNA	2634	2585	6374	334.135
YGL160W_mRNA	1713	1664	134	10.9124
YAL003W_mRNA	621	572	455	107.792
YPL084W_mRNA	2535	2486	138	7.52226
YNL152W_mRNA	1230	1181	56	6.42552
YCL002C_mRNA	792	743	120	21.8858
YIL117C_mRNA	957	908	32	4.77567
YBL037W_mRNA	3078	3029	49	2.19213
YNL140C_mRNA	570	521	48.2306	12.5446
YDR232W_mRNA	1647	1598	283	23.9983
YJL062W-A_mRNA	258	209	75	48.6279
YBR019C_mRNA	2100	2051	33	2.18031
YBR022W_mRNA	534	485	56	15.6465
YDR158W_mRNA	1098	1049	293	37.8497
YOR230W_mRNA	1314	1265	378	40.4922
YNL099C_mRNA	717	668	62	12.5772
YKL173W_mRNA	3027	2978	77	3.50378
YER159C_mRNA	429	380	35.6213	12.7027
YML057W_mRNA	1815	1766	128.075	9.8275
YML055W_mRNA	537	488	55	15.2726
YDR439W_mRNA	1044	995	34	4.63048
YBR121C-A_mRNA	159	110	0	0
YJL110C_mRNA	1656	1607	87	7.33624
YNL182C_mRNA	1668	1619	30	2.51099
YJR088C_mRNA	879	830	52.1392	8.51249
YMR105C_mRNA	1710	1661	228	18.601
YOR144C_mRNA	2376	2327	47	2.73698
YPR101W_mRNA	528	479	37	10.4673
YPL179W_mRNA	1650	1601	754	63.8191
YCL024W_mRNA	3114	3065	82.5828	3.65115
YNL180C_mRNA	996	947	254	36.3458
YLR321C_mRNA	1281	1232	26.1957	2.88131
YPL224C_mRNA	1455	1406	74	7.13209
YOL081W_mRNA	9240	9191	1196	17.6335
YNR001C_mRNA	1440	1391	981	95.568
YOL052C_mRNA	1191	1142	54	6.40764
YOR285W_mRNA	420	371	296	108.116
YIL050W_mRNA	858	809	166	27.8055
YMR268C_mRNA	1335	1286	27	2.84507
YDL206W_mRNA	2289	2240	240	14.5189
YLR327C_mRNA	261	212	50	31.9598
YBR119W_mRNA	897	848	52	8.30956
YDR125C_mRNA	1362	1313	39	4.02504
