target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	33	6.42432
YLL050C_mRNA	432	383	378	81.0809
YMR172W_mRNA	2160	2111	39.2237	1.52646
YOR185C_mRNA	663	614	208	27.8305
YLL032C_mRNA	2478	2429	47	1.58963
YBR225W_mRNA	2703	2654	49.2704	1.52514
YEL041W_mRNA	1488	1439	44	2.51199
YOR237W_mRNA	1305	1256	10	0.654087
YMR027W_mRNA	1413	1364	199	11.9857
YBR182C-A_mRNA	195	146	1	0.562694
YKL103C_mRNA	1545	1496	650	35.695
YOL048C_mRNA	1029	980	72	6.03576
YIR015W_mRNA	435	386	28	5.95931
YNR017W_mRNA	669	620	98	12.9855
YBL055C_mRNA	1257	1208	16	1.08812
YML089C_mRNA	369	320	28.1738	7.23305
YOL144W_mRNA	1455	1406	41	2.39565
YDL246C_mRNA	1074	1025	64	5.12958
YDL243C_mRNA	990	941	305.154	26.6413
YDR387C_mRNA	1668	1619	53	2.68939
YMR290C_mRNA	1518	1469	30.9432	1.73049
YOR082C_mRNA	342	293	20.2997	5.69178
YCR031C_mRNA	414	365	390.003	87.781
YBR293W_mRNA	1425	1376	15	0.895567
YJL160C_mRNA	864	815	5	0.504008
YBR223W-A_mRNA	120	71	1.57822	1.82614
YMR139W_mRNA	1113	1064	97	7.48955
YNL105W_mRNA	429	380	0	0
YDL094C_mRNA	510	461	1.3987	0.249258
YDR438W_mRNA	1113	1064	22	1.69866
YDR523C_mRNA	1473	1424	18	1.03846
YDR542W_mRNA	363	314	0	0
YIL156W-A_mRNA	402	353	4.23076	0.98462
YLR466W_mRNA	4149	4100	0	0
YPL208W_mRNA	1752	1703	24	1.15777
YLR054C_mRNA	2175	2126	9	0.34778
YER011W_mRNA	765	716	5	0.573697
YLR437C_mRNA	402	353	59	13.731
YPL102C_mRNA	303	254	2.27146	0.734678
YNR069C_mRNA	1470	1421	31	1.79223
YDR492W_mRNA	951	902	89.6863	8.16855
YIL115W-A_mRNA	372	323	84.9881	21.6163
YMR191W_mRNA	1122	1073	121	9.26427
YIL086C_mRNA	309	260	41	12.955
YOL072W_mRNA	1368	1319	16	0.996553
YOR114W_mRNA	885	836	22	2.16193
YIL156W-B_mRNA	222	173	69	32.7664
YHR094C_mRNA	1713	1664	55.3039	2.73041
YOL085C_mRNA	342	293	0	0
YFL031C-A_mRNA	102	53	12	18.6008
YHL031C_mRNA	672	623	93.0048	12.2643
YOR385W_mRNA	873	824	0	0
YGL087C_mRNA	414	365	73	16.4307
YMR244C-A_mRNA	315	266	74.1093	22.8885
YNL306W_mRNA	654	605	167	22.677
YOR214C_mRNA	711	662	24	2.97837
YAL037W_mRNA	804	755	2	0.217625
YLR217W_mRNA	324	275	4.1199	1.23078
YLL056C_mRNA	897	848	105	10.1723
YOL119C_mRNA	1506	1457	57	3.21396
YJL204C_mRNA	2523	2474	21	0.697341
YAL016W_mRNA	1908	1859	168.445	7.44396
YIL146C_mRNA	1590	1541	53	2.82552
YCL011C_mRNA	1284	1235	98	6.51905
YLR128W_mRNA	810	761	10	1.07954
YKL131W_mRNA	522	473	10.2107	1.77345
YDR018C_mRNA	1191	1142	24	1.72652
YOR019W_mRNA	2193	2144	149	5.70935
YNL288W_mRNA	1122	1073	40	3.06257
YCL040W_mRNA	1503	1454	440.04	24.863
YER158W-A_mRNA	216	167	47.2225	23.2305
YNL191W_mRNA	1074	1025	120	9.61796
YBR115C_mRNA	4179	4130	184	3.6601
YGL156W_mRNA	3252	3203	358	9.1823
YNL150W_mRNA	408	359	134.852	30.8595
YCR052W_mRNA	1452	1403	11	0.644111
YGL015C_mRNA	393	344	2	0.477636
YOR206W_mRNA	2133	2084	140	5.51894
YMR091C_mRNA	1308	1259	89	5.80751
YMR173W-A_mRNA	1185	1136	775.901	56.1117
YJR105W_mRNA	1023	974	104	8.77202
YHL002W_mRNA	1359	1310	210	13.1696
YCR100C_mRNA	951	902	4	0.364317
YOR345C_mRNA	351	302	1.54878	0.421317
YPL217C_mRNA	3552	3503	171	4.01034
YOR341W_mRNA	4995	4946	77	1.27897
YDL189W_mRNA	1374	1325	25	1.55006
