target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	30	5.65683
YLL050C_mRNA	432	383	648	134.63
YMR172W_mRNA	2160	2111	47.4086	1.78703
YOR185C_mRNA	663	614	266	34.4729
YLL032C_mRNA	2478	2429	70	2.29316
YBR225W_mRNA	2703	2654	83.3066	2.49772
YEL041W_mRNA	1488	1439	60	3.31784
YOR237W_mRNA	1305	1256	11	0.696895
YMR027W_mRNA	1413	1364	234	13.651
YBR182C-A_mRNA	195	146	4	2.18008
YKL103C_mRNA	1545	1496	878	46.7011
YOL048C_mRNA	1029	980	69	5.60257
YIR015W_mRNA	435	386	43	8.86433
YNR017W_mRNA	669	620	114	14.6311
YBL055C_mRNA	1257	1208	25	1.64679
YML089C_mRNA	369	320	34.164	8.4954
YOL144W_mRNA	1455	1406	49	2.77316
YDL246C_mRNA	1074	1025	2.10519	0.16343
YDL243C_mRNA	990	941	442.514	37.4199
YDR387C_mRNA	1668	1619	41	2.01512
YMR290C_mRNA	1518	1469	45.965	2.48983
YOR082C_mRNA	342	293	25.9009	7.03416
YCR031C_mRNA	414	365	535.542	116.752
YBR293W_mRNA	1425	1376	23	1.33007
YJL160C_mRNA	864	815	4	0.390541
YBR223W-A_mRNA	120	71	1.66251	1.86324
YMR139W_mRNA	1113	1064	131	9.79703
YNL105W_mRNA	429	380	2.58035	0.54033
YDL094C_mRNA	510	461	1.97463	0.340839
YDR438W_mRNA	1113	1064	33	2.46795
YDR523C_mRNA	1473	1424	20	1.1176
YDR542W_mRNA	363	314	5.55665	1.40815
YIL156W-A_mRNA	402	353	1.59822	0.360268
YLR466W_mRNA	4149	4100	0	0
YPL208W_mRNA	1752	1703	45	2.10263
YLR054C_mRNA	2175	2126	13	0.486569
YER011W_mRNA	765	716	3	0.333406
YLR437C_mRNA	402	353	55	12.398
YPL102C_mRNA	303	254	0	0
YNR069C_mRNA	1470	1421	48	2.68789
YDR492W_mRNA	951	902	92.6019	8.16917
YIL115W-A_mRNA	372	323	84.9961	20.9393
YMR191W_mRNA	1122	1073	171	12.6812
YIL086C_mRNA	309	260	37	11.3238
YOL072W_mRNA	1368	1319	27	1.62886
YOR114W_mRNA	885	836	23	2.1892
YIL156W-B_mRNA	222	173	84	38.6365
YHR094C_mRNA	1713	1664	53.5051	2.55863
YOL085C_mRNA	342	293	0	0
YFL031C-A_mRNA	102	53	28	42.0385
YHL031C_mRNA	672	623	153.525	19.609
YOR385W_mRNA	873	824	0	0
YGL087C_mRNA	414	365	101	22.0188
YMR244C-A_mRNA	315	266	90.2965	27.0118
YNL306W_mRNA	654	605	269	35.3803
YOR214C_mRNA	711	662	14	1.68281
YAL037W_mRNA	804	755	3	0.316183
YLR217W_mRNA	324	275	4.44653	1.28663
YLL056C_mRNA	897	848	148	13.8877
YOL119C_mRNA	1506	1457	141	7.70059
YJL204C_mRNA	2523	2474	39	1.25438
YAL016W_mRNA	1908	1859	219.531	9.39683
YIL146C_mRNA	1590	1541	81	4.18261
YCL011C_mRNA	1284	1235	135	8.69824
YLR128W_mRNA	810	761	15	1.56845
YKL131W_mRNA	522	473	9.06521	1.52504
YDR018C_mRNA	1191	1142	36	2.50842
YOR019W_mRNA	2193	2144	162	6.0125
YNL288W_mRNA	1122	1073	77	5.71026
YCL040W_mRNA	1503	1454	444.128	24.3057
YER158W-A_mRNA	216	167	104.615	49.8475
YNL191W_mRNA	1074	1025	139	10.7908
YBR115C_mRNA	4179	4130	219	4.21948
YGL156W_mRNA	3252	3203	435	10.8068
YNL150W_mRNA	408	359	161.163	35.7219
YCR052W_mRNA	1452	1403	16	0.907459
YGL015C_mRNA	393	344	4	0.925265
YOR206W_mRNA	2133	2084	219	8.36202
YMR091C_mRNA	1308	1259	114	7.20516
YMR173W-A_mRNA	1185	1136	831.198	58.2225
YJR105W_mRNA	1023	974	160	13.0715
YHL002W_mRNA	1359	1310	240.588	14.6139
YCR100C_mRNA	951	902	4	0.352873
YOR345C_mRNA	351	302	0	0
YPL217C_mRNA	3552	3503	263	5.97421
YOR341W_mRNA	4995	4946	148	2.38107
YDL189W_mRNA	1374	1325	34	2.04187
YLR279W_mRNA	390	341	17.7532	4.14272
YHR219C-A_mRNA	483	434	0	0
YER056C-A_mRNA	366	317	283.411	71.1412
YMR180C_mRNA	963	914	74	6.44244
YNL097C_mRNA	993	944	75.5651	6.36963
YDR508C_mRNA	1992	1943	13	0.532396
YHR045W_mRNA	1683	1634	62	3.01929
YML020W_mRNA	1995	1946	71	2.90322
YGR251W_mRNA	591	542	72	10.5706
YPL197C_mRNA	414	365	157.801	34.4017
YBR031W_mRNA	1089	1040	430.479	32.9369
YDR462W_mRNA	444	395	58	11.6841
YPR139C_mRNA	903	854	40	3.72706
YPR169W_mRNA	1479	1430	274	15.2468
YPL257W_mRNA	582	533	0	0
YOL088C_mRNA	834	785	57	5.7779
YLR075W_mRNA	666	617	1518.73	195.866
YML088W_mRNA	2007	1958	117	4.75486
YIL010W_mRNA	648	599	33	4.38381
YBL108C-A_mRNA	129	80	3.91412	3.89322
YDR175C_mRNA	960	911	70	6.11426
YLR052W_mRNA	753	704	26	2.93877
YKR004C_mRNA	1134	1085	13	0.953407
YNL137C_mRNA	1461	1412	212	11.9472
YNL331C_mRNA	1131	1082	18	1.32376
YFL026W_mRNA	1296	1247	14	0.893359
YBR116C_mRNA	528	479	278.1	46.1987
YJR129C_mRNA	1020	971	24	1.96678
YKR092C_mRNA	1221	1172	50	3.39474
YDR186C_mRNA	2634	2585	425	13.0826
YML077W_mRNA	480	431	23	4.24634
YEL067C_mRNA	588	539	6.18333	0.912847
YJL139C_mRNA	1287	1238	22	1.41406
YKL002W_mRNA	699	650	433	53.0077
