target_id	length	eff_length	est_counts	tpm
YPL071C_mRNA	471	422	44	12.8317
YLL050C_mRNA	432	383	410	131.743
YMR172W_mRNA	2160	2111	94.8598	5.53015
YOR185C_mRNA	663	614	160	32.0697
YLL032C_mRNA	2478	2429	64	3.24262
YBR225W_mRNA	2703	2654	133.276	6.18006
YEL041W_mRNA	1488	1439	130	11.118
YOR237W_mRNA	1305	1256	18	1.7637
YMR027W_mRNA	1413	1364	362	32.6616
YBR182C-A_mRNA	195	146	4	3.37171
YKL103C_mRNA	1545	1496	365	30.0265
YOL048C_mRNA	1029	980	58	7.28358
YIR015W_mRNA	435	386	34	10.8401
YNR017W_mRNA	669	620	45	8.93231
YBL055C_mRNA	1257	1208	60	6.11262
YML089C_mRNA	369	320	4	1.53834
YOL144W_mRNA	1455	1406	27	2.36331
YDL246C_mRNA	1074	1025	7	0.84046
YDL243C_mRNA	990	941	100.37	13.1267
YDR387C_mRNA	1668	1619	59	4.48485
YMR290C_mRNA	1518	1469	48	4.02126
YOR082C_mRNA	342	293	15.5924	6.54919
YCR031C_mRNA	414	365	535.912	180.694
YBR293W_mRNA	1425	1376	38	3.39866
YJL160C_mRNA	864	815	3	0.453009
YBR223W-A_mRNA	120	71	0.102777	0.178148
YMR139W_mRNA	1113	1064	124	14.3424
YNL105W_mRNA	429	380	4.00997	1.29867
YDL094C_mRNA	510	461	1.3439	0.358764
YDR438W_mRNA	1113	1064	78	9.02186
YDR523C_mRNA	1473	1424	41	3.54337
YDR542W_mRNA	363	314	0	0
YIL156W-A_mRNA	402	353	2.00675	0.69962
YLR466W_mRNA	4149	4100	154.758	4.64528
YPL208W_mRNA	1752	1703	44	3.17966
YLR054C_mRNA	2175	2126	38	2.1997
YER011W_mRNA	765	716	26	4.46893
YLR437C_mRNA	402	353	24	8.36719
YPL102C_mRNA	303	254	0	0
YNR069C_mRNA	1470	1421	96	8.31419
YDR492W_mRNA	951	902	458.653	62.5779
YIL115W-A_mRNA	372	323	27.8239	10.6013
YMR191W_mRNA	1122	1073	164	18.8099
YIL086C_mRNA	309	260	26	12.3067
YOL072W_mRNA	1368	1319	56	5.225
YOR114W_mRNA	885	836	14	2.06094
YIL156W-B_mRNA	222	173	49	34.8572
YHR094C_mRNA	1713	1664	1996.78	147.68
YOL085C_mRNA	342	293	13.6359	5.72743
YFL031C-A_mRNA	102	53	12	27.8643
YHL031C_mRNA	672	623	81.8107	16.1609
YOR385W_mRNA	873	824	49	7.31833
YGL087C_mRNA	414	365	80	26.9737
YMR244C-A_mRNA	315	266	47.0747	21.7796
YNL306W_mRNA	654	605	200	40.6834
YOR214C_mRNA	711	662	7	1.30132
YAL037W_mRNA	804	755	36	5.86811
YLR217W_mRNA	324	275	10.2816	4.60121
YLL056C_mRNA	897	848	129	18.7213
YOL119C_mRNA	1506	1457	163	13.768
YJL204C_mRNA	2523	2474	62	3.08415
YAL016W_mRNA	1908	1859	336.594	22.2828
YIL146C_mRNA	1590	1541	199	15.8925
YCL011C_mRNA	1284	1235	168	16.7411
YLR128W_mRNA	810	761	29	4.68982
YKL131W_mRNA	522	473	14.7101	3.82735
YDR018C_mRNA	1191	1142	39	4.20283
YOR019W_mRNA	2193	2144	59	3.38665
YNL288W_mRNA	1122	1073	97	11.1254
YCL040W_mRNA	1503	1454	695.365	58.8561
YER158W-A_mRNA	216	167	8.98702	6.62281
YNL191W_mRNA	1074	1025	59	7.08388
YBR115C_mRNA	4179	4130	318	9.47589
YGL156W_mRNA	3252	3203	1122	43.1101
YNL150W_mRNA	408	359	41.4113	14.196
YCR052W_mRNA	1452	1403	25	2.19293
YGL015C_mRNA	393	344	1	0.357754
YOR206W_mRNA	2133	2084	100	5.90534
YMR091C_mRNA	1308	1259	101	9.87276
